id,name,score,publisher,developer,follow,topic,review,install
555,Ninja: Survival Trial(English),,Infinity Game,,11,,
558,Angry Shark 2016,,"Tapinator, Inc. (Ticker: TAPM)",,54,,
559,乐高?未来骑士团: 梅洛克 2.0,9.0,LEGO System A/S,,17043,48,164
563,Happy Wheel (Wheel Of Fortune),,Nitrid Games,,9,,
564,3D市出租车驾驶疯狂,,VascoGames,,163,,2
566,Katy Perry Pop.,,Glu,,62,,1
567,Cookie Blast Frenzy,,easygame7,,6,,
568,Whack the Burglars - Robbers,,Netplayer Games,,205,,2
571,Top Bike: Racing & Moto Drag,,T-Bull,,199,,2
572,仙境大营救,,TabTale,,100,,2
573,我宝贝的食物——烹饪游戏 (My Baby Food),,Bubadu,,93,,
574,Virtual Town,,"Last Day of Work, LLC",,148,,3
577,骁勇征程,4.0,Ketchapp,,147,,10
580,Princess Kitchen,,TutoTOONS,,54,,1
582,Monster High Frightful Fashion,,Budge Studios,,46,,1
584,Monster Truck Winter Racing,,Tiny Lab Productions,,20,,
586,Car Driving Simulator: SF,9.0,AxesInMotion Racing,,1453,,13
587,Tap Tycoon,9.0,Game Hive Corporation,,16364,94,393
588,Star Skater,,Halfbrick Studios,,223,,4
589,Euro Truck Driver (Simulator),7.9,Ovidiu Pop,,30451,133,197
591,"Sarah's Secrets - Interactive Story Drama Game",,Tapps Games,,25,,
593,托马斯小火车：比赛开始！,,Animoca Brands,,833,,9
594,Princess Palace: Royal Puppy,,Libii,,477,,
597,Christmas Animal Hair Salon,,TutoTOONS,,6,,
598,Puzzle Block Game for Qubed,,Funbly,,4,,
599,Love Tangle / Shall we date?,7.2,NTT Solmare Corp.,,477,,7
601,Hoverboard Rider 3D:Santa Xmas,,"Tapinator, Inc. (Ticker: TAPM)",,3,,
602,冰雪公主——甜蜜十六岁,,Coco Play By TabTale,,409,,2
605,吃货萌宠大狂欢,,Storm8 Studios,,33,,1
608,罗马战神,7.9,Gameloft,,10761,18,118
609,摇滚校园——教室小丑,,TabTale,,80,,
610,龙族物语: 冬季,,Storm8 Studios,,29,,
611,Evolution: Heroes of Utopia,,My.com B.V.,,94,,4
613,槍械模擬,,Words Mobile,,494,,5
614,蠢蠢的死法2,8.8,Metro Trains,,61433,12,322
615,ROBLOX,9.0,ROBLOX Corporation,,239185,1843,2239
616,保齡球 3D Bowling,,Italy Games,,1323,,5
619,Prize Claw 2,,Game Circus LLC,,417,,4
632,Miss Hollywood Showtime,,Budge Studios,,46,,
633,淘气女生化妆沙龙 - 女孩游戏,,6677g.com,,221,,
638,世界旋轉,,SAT-BOX,,184,,1
639,Baller Legends,,"Battery Acid Games, Inc.",,16,,
641,UniWar,9.8,TBS Games,,5148,12,107
643,Eco Birds,,"Storm Watch Games, Inc.",,27,,
647,呆萌小怪物（Best Fiends）- 免费益智游戏,9.3,Seriously Digital Entertainment Ltd.,,13314,13,383
665,Bike Rider 3rd Race,,Spicysoft Corporation,,419,,3
670,-リアル闇金ゲーム- お姉さんから1億円回収しろ！,,"GOODROID,Inc.",,41,,3
683,戦闘力診断 - 本当の強さを知れ！Testiiの診断?心理テストシリーズ,,Testii,,42,,1
739,千备忘录！ 【金枪鱼游戏】千回忆[RPG],8.8,Akatsuki Inc.,,1068,9,33
747,妊娠1ヶ月,7.8,Hajime Sumita,,410,,9
758,天空舰队,9.0,KLab,,744,3,10
