id,name,score,publisher,developer,follow,order,topic,review,install,recommend
246,War of Nations: PvP Conflict,,"GREE, INC",,52,,,3,,
247,庄园物语,,点点互动（北京）科技有限公司,,1587,,,5,,
248,最终幻想Record Keeper,8.2,DeNA Corp.,,974,,,6,,
249,帝国与联盟 [Empires & Allies],7.2,Zynga,,769,,1,24,,
250,Vikings: War of Clans,8.5,Plarium  LLC,,2471,,4,19,,
252,Brave Frontier,,gumi Inc.,,1078,,,3,,
253,龙之魂,8.8,PerBlue,,887,,4,33,,
254,怪物传奇,8.1,Social Point,,5376,,3,28,,
255,碎碎鲜果,9.2,SGN,,518,,,5,,
257,Empire Z: Endless War,,Ember Entertainment,,72,,,2,,
258,梦想小镇 (Township),9.1,触控游戏,,64422,,520,1648,,
260,碎碎糖心-美国浪漫冒险动画片<生命之书>改编,10,SGN,,480,,,6,,
261,STAR WARS?: FORCE COLLECTION,,KONAMI,,56,,,2,,
262,KIM KARDASHIAN: HOLLYWOOD,8.5,Glu,,928,,1,10,,
264,Stormfall: Rise of Balur,,Plarium Global Ltd,,95,,,2,,
265,The Secret Society? - 秘密盟会,9.4,G5 Entertainment,,9268,,14,363,,
269,COOKING DASH,6.8,Glu,,2832,,1,20,,
282,痛击英雄,8.6,株式会社ドリコム,,722,,,13,,
283,弗尔蒂希亚,,SEGA,,58,,,3,,
284,LINE POP2,,LINE Corporation,,649,,,2,,
290,问答RPG 魔法使与黑猫维兹JP,9.7,"COLOPL, Inc.",,1126,,1,29,,
293,布朗的农场,6.9,LINE Corporation,,8943,,21,116,,
301,LINE Get Rich,8.9,LINE Corporation,,1106,,,11,,
306,实况野球,9.4,KONAMI,,1603,,7,26,,
309,勇者斗恶龙怪兽篇 仙境之光,9.2,"SQUARE ENIX Co.,Ltd.",,2632,,1,32,,
310,魔法气泡！ ！ Quest /Puyopuyo !! Quest,9.2,SEGA,,1055,,16,28,,
311,逃脫遊戲：旅店,7.8,NEAT ESCAPE,,516,,,8,,
316,神赐之门JP,8.3,GungHoOnlineEntertainment,,2754,,4,51,,
325,悠悠世界树,9.1,cloverlab.inc,,597,,1,12,,
326,召唤图板 Summons BoardJP,9.3,GungHoOnlineEntertainment,,4543,,28,79,,
327,公主踢骑士,8.7,GungHoOnlineEntertainment,,1296,,7,34,,
329,LoveLive! 学园偶像祭（日服）JP,9.9,KLab,,48887,,425,1300,,
335,Ultima Reversi,,Ultima Architect Inc.,,52,,,2,,
336,职棒野球魂A,9.3,KONAMI,,993,,1,7,,
337,LINE Pokopang,8.8,LINE Corporation,,671,,,10,,
338,beat gather U,,KONAMI,,430,,,5,,
342,将皇（将棋游戏）,9.6,ken1,,4258,,,24,,
343,rain -脱出ゲーム-,,IzumiArtisan,,89,,,2,,
344,煎饼塔 Pancake Tower,8.6,O!TOUCH,,6651,,5,45,,
345,LINE Bubble!,,LINE Corporation,,249,,,3,,
346,战斗海贼JP,9.6,SEGA,,546,,,11,,
348,最终幻想：勇者EXVIUSJP,8.4,"SQUARE ENIX Co.,Ltd.",,5259,,26,55,,
434,Fate/Grand OrderJP,9.4,Aniplex Inc.,,213249,,4704,3156,,
447,三国天武?三国战略的全面战略决战JP,7.6,6waves,,325,,,13,,
448,SD 高达G世代新天地,6.8,BANDAI NAMCO Entertainment Inc.,,800,,1,14,,
449,消灭都市JP,9.5,Wright Flyer Studios,,2548,,9,83,,yes
454,私立格里莫瓦魔法学园,9,株式会社 アプリボット,,2148,,4,44,,
456,IDOLiSH7,9.7,BANDAI NAMCO Online Inc.,,14363,,69,381,,
459,怪物猎人 : EXPLOREJP,8.6,株式会社カプコン,,16010,,107,218,,
460,苍之三国志,,"COLOPL, Inc.",,46,,1,2,,
461,Unison League,6.5,Ateam Inc.,,646,,5,33,,
465,梦幻之星网路版 2 es,8.5,SEGA,,4708,,3,53,,
466,我们的甲子园！口袋篇JP,,KAYAC Inc.,,31,,,3,,
470,AKB48终于出官方音游了。,8.9,"S&P Co., Ltd.",,1913,,2,50,,
479,小小诺亚,9.4,"Cygames, Inc.",,11932,,52,195,,
480,少女与战车 战车道大作战！JP,9.2,showgate,,3789,,6,84,,
481,我家公主大人最可爱,9.7,CyberAgent Inc.,,4238,,36,134,,
506,Minecraft,10,Mojang,,1208369,,1353,7660,,
518,ePSXe for Android,9.6,epsxe software s.l.,,13730,,3,12,,
519,LEGO? Star Wars?:  TCS,9.7,Warner Bros. International Enterprises,,771,,,9,,
528,狂野飙车8 ：极速凌云,8.1,Gameloft,,957157,,4124,7937,,
530,Descendants,,Disney,,20,,,1,,
531,My Singing Monsters,9.9,Big Blue Bubble,,1481,,,16,,
532,儿童快乐涂鸦 - 童心童画 - Kids Doodle,,Doodle Joy Studio,,477,,1,9,,
533,Unison League,9.7,Ateam Inc.,,2518,,3,15,,
534,劲爆高尔夫纸牌,,Big Fish Games,,131,,,4,,
535,PAC-MAN,8.9,BANDAI NAMCO Entertainment America Inc.,,33773,,11,136,,
536,Bejeweled Blitz,10,艺电 EA,,267,,,7,,
537,像素枪 3D（便携版）,8.7,RiliSoft,,230007,,3925,2768,,yes
538,Racing in Car,9.8,Fast Free Games,,2183,,,25,,
539,曼陀罗着色页,,Coloring Games,,138,,,4,,
540,Color Switch,8.2,Fortafy Games,,11209,,3,54,,
541,飞皂宝宝传奇,,King,,141,,,3,,
542,Geometry Dash Meltdown,9.9,RobTop Games,,28866,,17,381,,
547,White Tiles 4 : Classic Piano,,Brighthouse,,73,,,,,
548,Bowling Star,,Smoote Mobile,,4,4,,,,
551,Extreme Speed,,Pudlus Games,,58,,,,,
553,Moto Jump 3D,,nullapp,,14,,,,,
555,Ninja: Survival Trial(English),,Infinity Game,,11,,,,,
558,Angry Shark 2016,,"Tapinator, Inc. (Ticker: TAPM)",,54,,,,,
559,乐高?未来骑士团: 梅洛克 2.0,9,LEGO System A/S,,17083,,48,165,,
563,Happy Wheel (Wheel Of Fortune),,Nitrid Games,,9,,,,,
564,3D市出租车驾驶疯狂,,VascoGames,,163,,,2,,
566,Katy Perry Pop.,,Glu,,62,,,1,,
567,Cookie Blast Frenzy,,easygame7,,6,,,,,
568,Whack the Burglars - Robbers,,Netplayer Games,,208,,,2,,
571,Top Bike: Racing & Moto Drag,,T-Bull,,201,,,2,,
572,仙境大营救,,TabTale,,100,,,2,,
573,我宝贝的食物——烹饪游戏 (My Baby Food),,Bubadu,,93,,,,,
574,Virtual Town,,"Last Day of Work, LLC",,154,,,3,,
577,骁勇征程,4,Ketchapp,,148,,,10,,
580,Princess Kitchen,,TutoTOONS,,54,,,1,,
582,Monster High Frightful Fashion,,Budge Studios,,46,,,1,,
584,Monster Truck Winter Racing,,Tiny Lab Productions,,20,,,,,
586,Car Driving Simulator: SF,9,AxesInMotion Racing,,1455,,,13,,
587,Tap Tycoon,9,Game Hive Corporation,,16431,,95,393,,
588,Star Skater,,Halfbrick Studios,,225,,,4,,
589,Euro Truck Driver (Simulator),7.9,Ovidiu Pop,,30628,,133,197,,
591,Sarah's Secrets - Interactive Story Drama Game,,Tapps Games,,25,,,,,
593,托马斯小火车：比赛开始！,,Animoca Brands,,838,,,9,,
594,Princess Palace: Royal Puppy,,Libii,,484,,,,,
597,Christmas Animal Hair Salon,,TutoTOONS,,6,,,,,
598,Puzzle Block Game for Qubed,,Funbly,,4,,,,,
599,Love Tangle / Shall we date?,7.2,NTT Solmare Corp.,,479,,,7,,
601,Hoverboard Rider 3D:Santa Xmas,,"Tapinator, Inc. (Ticker: TAPM)",,3,,,,,
602,冰雪公主——甜蜜十六岁,,Coco Play By TabTale,,414,,,2,,
605,吃货萌宠大狂欢,,Storm8 Studios,,33,,,1,,
608,罗马战神,7.9,Gameloft,,10797,,18,118,,
609,摇滚校园——教室小丑,,TabTale,,80,,,,,
610,龙族物语: 冬季,,Storm8 Studios,,29,,,,,
611,Evolution: Heroes of Utopia,,My.com B.V.,,94,,,4,,
613,槍械模擬,,Words Mobile,,507,,,5,,
614,蠢蠢的死法2,8.8,Metro Trains,,61478,,12,322,,yes
615,ROBLOX,9,ROBLOX Corporation,,241829,,1848,2251,,
616,保齡球 3D Bowling,,Italy Games,,1354,,,5,,
619,Prize Claw 2,,Game Circus LLC,,423,,,4,,
632,Miss Hollywood Showtime,,Budge Studios,,46,,,,,
633,淘气女生化妆沙龙 - 女孩游戏,,6677g.com,,220,,,,,
638,世界旋轉,,SAT-BOX,,187,,,1,,
639,Baller Legends,,"Battery Acid Games, Inc.",,16,,,,,
641,UniWar,9.8,TBS Games,,5164,,12,108,,
643,Eco Birds,,"Storm Watch Games, Inc.",,28,,,,,
